customer_id,customer_name,email
C001,Customer_1,customer1@example.com
C002,Customer_2,customer2@example.com
C003,Customer_3,customer3@example.com
C004,Customer_4,customer4@example.com
C005,Customer_5,customer5@example.com
C006,Customer_6,customer6@example.com
C007,Customer_7,customer7@example.com
C008,Customer_8,customer8@example.com
C009,Customer_9,customer9@example.com
C010,Customer_10,customer10@example.com
C011,Customer_11,customer11@example.com
C012,Customer_12,customer12@example.com
C013,Customer_13,customer13@example.com
C014,Customer_14,customer14@example.com
C015,Customer_15,customer15@example.com
C016,Customer_16,customer16@example.com
C017,Customer_17,customer17@example.com
C018,Customer_18,customer18@example.com
C019,Customer_19,customer19@example.com
C020,Customer_20,customer20@example.com
